"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
20001566,"  1566 Icarus (1949 MA)",1566,Icarus,,Y,Y,0,16.58,,,,,,,1.0,,0.51,2.2726,,0.774,0.520,,,,,,"JPL 159",2460200.5,60200,2023-09-13.0,J2000,0.8269,1.078,0.187,22.80,87.95,31.44,168.65,1.97,0.8805,2460008.96,2023-03-05.4,409,1.12,0.0338,13.2,3.22,5.3,2.6e-09,1.5e-09,3.0e-09,6.6e-07,2.5e-07,4.2e-07,5.0e-06,2.8e-09,1.9e-09,5.3e-06,8.7e-07,APO,"Otto Matic",27042,1949-07-01,2023-07-15,1645,10,13,0,.37676,,,,-3.5e-15,3.5e-16,,,,
20001620,"  1620 Geographos (1951 RA)",1620,Geographos,,Y,Y,0,15.27,,,,,,,2.56,5.0x2.0x2.1,0.290,5.22204,,0.862,0.471,,S,S,,0.15,"JPL 763",2460200.5,60200,2023-09-13.0,J2000,0.3355,1.246,0.828,13.34,337.17,276.95,5.84,1.66,0.7089,2460192.26,2023-09-04.7,508,1.39,0.03,11.7,3.45,5.07,9.0e-10,1.9e-10,1.1e-09,4.0e-08,1.9e-07,2.2e-07,3.4e-07,2.5e-10,1.6e-10,4.8e-07,1.2e-07,APO,"Otto Matic",26433,1951-09-14,2024-01-27,8170,3,4,0,.30095,,,,-3.7e-15,2.4e-16,,,,
20001862,"  1862 Apollo (1932 HA)",1862,Apollo,,Y,Y,1,16.08,0.09,,,,,,1.5,,0.25,3.065,,0.819,0.481,,Q,Q,,,"JPL 534",2460200.5,60200,2023-09-13.0,J2000,0.5599,1.471,0.647,6.35,35.56,286.05,31.77,2.29,0.5526,2460143.00,2023-07-17.5,652,1.78,0.0261,10.2,3.06,4.41,1.6e-09,1.7e-10,2.3e-09,7.3e-08,8.0e-07,6.6e-07,4.6e-07,2.7e-10,9.6e-11,8.3e-07,1.1e-07,APO,"Otto Matic",34041,1930-12-13,2024-02-24,3461,8,9,0,.46463,,,,-3.7e-15,2.0e-16,,,,
20001981,"  1981 Midas (1973 EA)",1981,Midas,,Y,Y,0,15.28,,,,,,,3.4,,,5.22,,,,,V,,,,"JPL 232",2460200.5,60200,2023-09-13.0,J2000,0.6501,1.777,0.622,39.82,356.85,267.82,92.26,2.93,0.4162,2459978.82,2023-02-03.3,865,2.37,0.00314,1.22,3.31,3.61,7.6e-10,1.9e-09,1.1e-09,1.5e-07,1.2e-07,1.6e-07,1.3e-06,3.2e-09,6.8e-10,2.8e-06,1.4e-06,APO,"Otto Matic",18496,1973-03-06,2023-10-26,1203,12,1,0,.45874,,,,,,,,,
20002101,"  2101 Adonis (1936 CA)",2101,Adonis,,Y,Y,0,18.72,,,,,,,0.6,,,,,,,,,,,,"JPL 47",2460200.5,60200,2023-09-13.0,J2000,0.7643,1.874,0.442,1.32,349.47,43.64,77.18,3.31,0.3843,2459999.65,2023-02-24.1,937,2.56,0.0115,4.48,2.15,3.55,5.9e-08,9.9e-09,1.1e-07,9.6e-06,4.5e-04,4.5e-04,9.6e-06,1.7e-08,3.0e-09,2.4e-05,7.4e-06,APO,"Otto Matic",30790,1936-02-21,2020-06-09,123,0,5,0,.39458,,,,-3.3e-14,5.7e-15,,,,
20002102,"  2102 Tantalus (1975 YA)",2102,Tantalus,,Y,Y,0,16.00,,,,,,,1.649,,0.245,2.384,,,,,Q,,,0.04,"JPL 260",2460200.5,60200,2023-09-13.0,J2000,0.2993,1.29,0.904,64.00,94.35,61.52,169.20,1.68,0.6727,2459948.97,2023-01-04.4,535,1.47,0.0419,16.3,3.77,4.45,4.2e-10,2.4e-10,5.8e-10,8.7e-08,8.5e-08,1.2e-07,4.8e-07,3.2e-10,1.9e-10,6.4e-07,1.5e-07,APO,"Otto Matic",17388,1976-01-02,2023-08-11,2148,1,0,0,.38887,,,,,,,,,
20002135,"  2135 Aristaeus (1977 HA)",2135,Aristaeus,,Y,Y,0,18.05,,,,,,,,,,,,,,,,,,,"JPL 24",2460200.5,60200,2023-09-13.0,J2000,0.5028,1.6,0.795,23.07,191.12,290.97,7.48,2.40,0.4871,2460185.14,2023-08-28.6,739,2.02,0.00884,3.44,2.96,4.13,1.3e-06,8.1e-08,2.0e-06,5.1e-05,3.4e-04,1.6e-04,7.5e-04,1.2e-07,3.7e-08,1.5e-03,5.6e-05,APO,"Otto Matic",15749,1977-04-17,2020-05-30,61,,,1,.54865,,,,,,,,,
20002201,"  2201 Oljato (1947 XC)",2201,Oljato,,Y,Y,0,15.36,,,,,,,1.80,,0.4328,26,,,,,Sq,,,0.10,"JPL 258",2460200.5,60200,2023-09-13.0,J2000,0.7114,2.178,0.628,2.52,74.87,98.42,211.77,3.73,0.3067,2460683.77,2025-01-08.2,1.17e+03,3.21,0.0029,1.13,1.24,3.3,3.0e-09,1.4e-09,6.7e-09,1.3e-07,4.9e-06,5.1e-06,7.3e-07,2.4e-09,3.0e-10,2.8e-06,1.1e-06,APO,"Otto Matic",33583,1931-12-03,2023-11-13,1360,0,5,0,.51211,,,,,,,,,
20002340,"  2340 Hathor (1976 UA)",2340,Hathor,,Y,Y,0,20.43,,,,,,,0.3,,,3.35,,0.770,0.500,,Sq,CSU,,,"JPL 62",2460200.5,60200,2023-09-13.0,J2000,0.4499,0.8438,0.464,5.86,211.30,40.09,264.78,1.22,1.272,2460275.38,2023-11-26.8,283,0.775,0.00662,2.58,3.81,6.88,3.6e-08,9.5e-10,3.1e-08,4.3e-06,1.3e-05,1.4e-05,5.7e-06,1.4e-09,2.2e-09,4.6e-06,4.8e-07,ATE,Giorgini,16477,1976-10-25,2021-12-05,572,4,3,0,.37471,,,,-3.0e-14,6.3e-16,,,,
20003122,"  3122 Florence (1981 ET3)",3122,Florence,,Y,Y,2,14.10,,,,,,,4.9,,0.231,2.3581,,,,,S,,,,"JPL 754",2460200.5,60200,2023-09-13.0,J2000,0.4231,1.769,1.020,22.14,336.06,27.88,193.13,2.52,0.4189,2460598.84,2024-10-15.3,859,2.35,0.0445,17.3,3,3.92,5.9e-10,4.7e-10,1.1e-09,5.2e-08,1.5e-07,1.7e-07,4.0e-07,6.6e-10,1.7e-10,1.1e-06,3.4e-07,AMO,"Otto Matic",16429,1979-03-09,2024-03-01,8444,6,0,0,.28629,,,,,,,,,
20003200,"  3200 Phaethon (1983 TB)",3200,Phaethon,,Y,Y,0,14.40,,,,,,,6.25,,0.1066,3.604,,,,,B,F,,0.15,"JPL 791",2460200.5,60200,2023-09-13.0,J2000,0.8900,1.271,0.140,22.29,265.15,322.24,334.02,2.40,0.6877,2460238.28,2023-10-20.7,524,1.43,0.0196,7.61,2.73,4.51,4.7e-10,5.8e-10,6.2e-10,9.4e-08,1.7e-07,1.5e-07,7.7e-07,1.1e-09,4.7e-10,1.1e-06,3.6e-07,APO,"Otto Matic",14705,1983-10-27,2024-01-30,6988,8,0,0,.34858,,,,-6.2e-15,3.6e-16,,,,
20003361,"  3361 Orpheus (1982 HR)",3361,Orpheus,,Y,Y,0,19.56,,,,,,,0.3,,0.357,3.5327,,1.022,0.503,,,,,,"JPL 184",2460200.5,60200,2023-09-13.0,J2000,0.3229,1.21,0.820,2.66,188.68,302.36,88.47,1.60,0.7401,2460080.97,2023-05-16.4,486,1.33,0.0144,5.6,3.45,5.21,3.6e-08,1.8e-09,4.4e-08,2.3e-06,3.6e-05,3.6e-05,1.6e-06,2.4e-09,1.7e-09,2.0e-06,1.1e-06,APO,"Otto Matic",14537,1982-04-24,2022-02-10,2742,2,0,0,.22052,,,,1.9e-14,2.4e-15,,,,
20003362,"  3362 Khufu (1984 QA)",3362,Khufu,,Y,Y,0,18.52,,,,,,,0.7,,0.21,,,,,,,,,,"JPL 24",2460200.5,60200,2023-09-13.0,J2000,0.4686,0.9895,0.526,9.92,152.42,55.07,319.35,1.45,1.001,2460241.09,2023-10-23.5,360,0.984,0.0133,5.17,3.52,6.02,5.7e-07,1.2e-08,5.7e-07,1.2e-05,5.8e-05,4.8e-05,2.0e-04,1.8e-08,1.8e-08,2.0e-04,6.5e-06,ATE,"Otto Matic",7394,1984-08-30,2004-11-27,262,,,1,.6347,,,,,,,,,
20003671,"  3671 Dionysus (1984 KD)",3671,Dionysus,,Y,Y,1,16.50,,,,,,,1.5,,0.16,2.7053,,,,,Cb,,,,"JPL 208",2460200.5,60200,2023-09-13.0,J2000,0.5410,2.2,1.009,13.53,82.06,204.30,10.67,3.39,0.3021,2460165.18,2023-08-08.6,1.19e+03,3.26,0.0217,8.46,1.83,3.43,1.9e-08,1.1e-09,4.2e-08,4.0e-06,1.4e-05,1.6e-05,4.9e-06,1.7e-09,2.2e-10,1.6e-05,8.8e-07,APO,"Otto Matic",14475,1984-05-27,2024-01-13,1112,,,0,.39033,,,,,,,,,
20003757,"  3757 Anagolay (1982 XB)",3757,Anagolay,,Y,Y,0,19.04,,,,,,,0.5,,0.18,9.012,,0.859,0.522,,,S,,,"JPL 54",2460200.5,60200,2023-09-13.0,J2000,0.4457,1.835,1.017,3.87,74.93,17.22,135.07,2.65,0.3966,2459859.91,2022-10-07.4,908,2.49,0.0363,14.1,2.58,3.9,5.2e-08,2.3e-09,9.5e-08,6.3e-06,6.5e-05,6.9e-05,1.3e-05,3.3e-09,7.4e-10,3.1e-05,1.7e-06,AMO,"Otto Matic",14759,1982-12-14,2023-05-12,198,0,2,0,.71169,,,,,,,,,
20004015,"  4015 Wilson-Harrington (1979 VA)",4015,Wilson-Harrington,,Y,Y,0,16.19,,,,,,,4,,0.05,3.5736,,0.666,0.279,,,CF,,0.50,"JPL 329",2460200.5,60200,2023-09-13.0,J2000,0.6316,2.625,0.967,2.80,266.76,95.47,89.08,4.28,0.2318,2459816.15,2022-08-24.6,1.55e+03,4.25,0.0427,16.6,1.22,3.08,2.4e-08,3.4e-09,6.4e-08,4.0e-06,6.8e-05,6.8e-05,2.2e-06,5.5e-09,4.5e-10,9.0e-06,3.0e-06,APO,"Otto Matic",27135,1949-11-19,2024-03-05,1510,,,0,.37037,,,,,,,,,
20004034,"  4034 Vishnu (1986 PA)",4034,Vishnu,,Y,Y,0,18.53,,,,,,,0.42,,0.52,44.4,,,,,O,,,,"JPL 121",2460200.5,60200,2023-09-13.0,J2000,0.4440,1.06,0.589,11.17,157.90,296.70,258.94,1.53,0.9036,2460312.33,2024-01-02.8,398,1.09,0.0194,7.55,3.69,5.7,5.7e-08,4.9e-09,6.3e-08,5.2e-06,1.8e-05,1.7e-05,1.3e-05,7.1e-09,6.3e-09,1.5e-05,2.8e-06,APO,"Otto Matic",13475,1986-08-02,2023-06-24,719,0,1,0,.41196,,,,-4.0e-14,6.7e-15,,,,
20004179,"  4179 Toutatis (1989 AC)",4179,Toutatis,,Y,Y,0,15.31,0.10,,,,,,5.4,1.70x2.03x4.26,0.405,176.,,,,,Sk,,,,"JPL 629",2460200.5,60200,2023-09-13.0,J2000,0.6247,2.544,0.955,0.45,125.34,277.87,242.54,4.13,0.2429,2460684.11,2025-01-08.6,1.48e+03,4.06,0.00653,2.54,1.3,3.14,3.4e-10,1.1e-09,7.9e-10,6.3e-08,1.1e-05,1.1e-05,3.0e-07,1.8e-09,1.6e-10,1.6e-06,9.7e-07,APO,"Otto Matic",32632,1934-02-10,2023-06-15,6728,33,28,0,.2914,,-7.4e-13,7.7e-14,-2.3e-14,4.0e-15,,,,
20004183,"  4183 Cuno (1959 LM)",4183,Cuno,,Y,Y,0,14.17,,,,,,,3.651,,0.097,3.5595,,,,,Sq,,,0.10,"JPL 619",2460200.5,60200,2023-09-13.0,J2000,0.6360,1.981,0.721,6.67,294.35,237.04,34.47,3.24,0.3535,2460102.97,2023-06-07.4,1.02e+03,2.79,0.0284,11.1,1.79,3.57,8.6e-10,1.6e-10,1.7e-09,7.0e-08,4.8e-07,5.3e-07,4.5e-07,2.6e-10,4.3e-11,1.3e-06,1.2e-07,APO,"Otto Matic",23499,1959-06-05,2023-10-06,3645,1,0,0,.43226,,,,,,,,,
20004450,"  4450 Pan (1987 SY)",4450,Pan,,Y,Y,0,17.28,,,,,,,,,,56.48,,,,,,,,,"JPL 259",2460200.5,60200,2023-09-13.0,J2000,0.5868,1.442,0.596,5.52,311.77,291.84,324.63,2.29,0.5691,2460262.65,2023-11-14.1,633,1.73,0.0283,11,2.76,4.46,2.0e-08,2.6e-09,2.8e-08,3.3e-06,2.0e-05,1.9e-05,9.7e-06,4.1e-09,1.5e-09,1.7e-05,1.7e-06,APO,"Otto Matic",31367,1937-02-06,2022-12-24,1513,1,0,0,.436,,,,,,,,,
20004486,"  4486 Mithra (1987 SB)",4486,Mithra,,Y,Y,0,15.61,,,,,,,1.849,"2.35 x 1.65 x 1.44",0.297,67.5,,,,,,,,0.02,"JPL 362",2460200.5,60200,2023-09-13.0,J2000,0.6625,2.201,0.743,3.04,82.22,168.90,36.49,3.66,0.3018,2460079.60,2023-05-15.0,1.19e+03,3.27,0.0462,18,1.4,3.34,1.3e-08,9.6e-10,2.9e-08,1.5e-06,4.4e-05,4.3e-05,2.0e-06,1.6e-09,2.0e-10,6.6e-06,7.8e-07,APO,"Otto Matic",13460,1987-01-29,2023-12-06,1873,8,9,0,.39745,,,,,,,,,
20004581,"  4581 Asclepius (1989 FC)",4581,Asclepius,,Y,Y,0,20.74,,,,,,,,,,8.008,,,,,,,,,"JPL 112",2460200.5,60200,2023-09-13.0,J2000,0.3569,1.023,0.658,4.92,180.21,255.36,190.87,1.39,0.9531,2460377.95,2024-03-08.4,378,1.03,0.00387,1.5,3.88,5.91,6.0e-08,4.8e-09,5.9e-08,2.5e-06,2.0e-05,2.0e-05,2.0e-05,6.6e-09,6.8e-09,2.2e-05,2.7e-06,APO,"Otto Matic",11706,1989-03-31,2021-04-18,424,2,2,0,.47405,,,,-3.6e-14,6.0e-15,,,,
20004660,"  4660 Nereus (1982 DB)",4660,Nereus,,Y,Y,0,18.75,,,,,,,0.33,,0.55,15.1749,,,,,Xe,,,0.05,"JPL 276",2460200.5,60200,2023-09-13.0,J2000,0.3587,1.485,0.953,1.45,313.12,159.51,334.14,2.02,0.5445,2460247.98,2023-10-30.4,661,1.81,0.00426,1.66,3.11,4.5,6.8e-10,2.9e-09,2.8e-09,1.7e-07,9.1e-06,9.9e-06,7.5e-07,3.9e-09,1.6e-09,1.5e-06,1.9e-06,APO,"Otto Matic",15434,1981-09-30,2024-01-02,4991,20,17,0,.20916,,,,1.4e-14,6.6e-15,,,,
20004769,"  4769 Castalia (1989 PB)",4769,Castalia,,Y,Y,0,17.51,,,,,,,1.4,,0.092,4.095,,,,,,,,,"JPL 123",2460200.5,60200,2023-09-13.0,J2000,0.4832,1.063,0.549,8.88,325.53,121.43,324.42,1.58,0.8992,2460240.07,2023-10-22.5,400,1.1,0.0204,7.95,3.67,5.68,2.6e-09,7.2e-10,2.5e-09,1.8e-07,1.1e-06,1.3e-06,2.9e-06,1.1e-09,9.2e-10,3.3e-06,4.1e-07,APO,"Otto Matic",12445,1989-08-01,2023-08-28,675,8,7,0,.67913,,,,-7.2e-15,6.9e-16,,,,
20004953,"  4953 (1990 MU)",4953,,,Y,Y,0,14.94,,,,,,,,,,14.218,,,,,,,,,"JPL 330",2460200.5,60200,2023-09-13.0,J2000,0.6574,1.621,0.555,24.38,77.53,77.94,94.00,2.69,0.4774,2460003.62,2023-02-28.1,754,2.06,0.0248,9.65,2.73,3.98,1.6e-09,3.7e-10,2.5e-09,7.7e-08,2.2e-07,2.8e-07,4.5e-07,6.2e-10,1.6e-10,9.0e-07,2.6e-07,APO,"Otto Matic",17954,1974-07-21,2023-09-16,2660,0,2,0,.41352,,,,,,,,,
20005011,"  5011 Ptah (6743 P-L)",5011,Ptah,,Y,Y,0,16.70,,,,,,,,,,56.3,,,,,,,,,"JPL 156",2460200.5,60200,2023-09-13.0,J2000,0.5000,1.636,0.818,7.41,10.64,105.93,345.28,2.45,0.471,2460231.75,2023-10-14.2,764,2.09,0.0242,9.43,2.7,4.14,5.4e-08,7.1e-09,8.6e-08,3.9e-06,3.2e-05,3.2e-05,2.1e-05,1.1e-08,3.1e-09,4.4e-05,5.0e-06,APO,"Otto Matic",23011,1960-09-24,2023-09-25,637,,,0,.50278,,,,,,,,,
20005189,"  5189 (1990 UQ)",5189,,,Y,Y,0,17.84,,,,,,,,,,6.653,,,,,,,,,"JPL 309",2460200.5,60200,2023-09-13.0,J2000,0.4780,1.552,0.810,3.58,135.07,159.96,53.64,2.29,0.5098,2460095.29,2023-05-30.7,706,1.93,0.0447,17.4,2.93,4.31,3.5e-10,2.9e-10,6.1e-10,4.2e-08,1.1e-06,1.1e-06,2.4e-07,4.3e-10,1.4e-10,4.4e-07,2.0e-07,APO,"Otto Matic",12135,1990-10-20,2024-01-10,1783,4,1,0,.43243,,,,,,,,,
20005604,"  5604 (1992 FE)",5604,,,Y,Y,0,17.38,,,,,,,0.55,,0.48,5.3375,,,,,V,,,,"JPL 192",2460200.5,60200,2023-09-13.0,J2000,0.4061,0.9286,0.551,4.71,311.90,82.67,189.35,1.31,1.101,2460355.44,2024-02-14.9,327,0.895,0.034,13.2,4.14,6.37,2.5e-09,1.2e-09,3.0e-09,4.2e-08,5.1e-07,5.4e-07,3.1e-06,1.7e-09,2.2e-09,3.1e-06,6.4e-07,ATE,"Otto Matic",12760,1985-04-17,2020-03-24,1163,6,0,0,.45814,,,,-2.1e-15,2.5e-15,,,,
20005693,"  5693 (1993 EA)",5693,,,Y,Y,0,16.79,,,,,,,,,,2.496,,,,,,,,,"JPL 438",2460200.5,60200,2023-09-13.0,J2000,0.5852,1.271,0.527,5.06,96.98,258.98,287.85,2.01,0.6882,2460305.34,2023-12-26.8,523,1.43,0.00598,2.33,3.44,4.89,1.3e-09,4.4e-10,1.6e-09,8.2e-08,6.6e-07,6.1e-07,6.3e-07,7.0e-10,3.6e-10,9.7e-07,2.7e-07,APO,"Otto Matic",14664,1984-01-10,2024-03-04,2840,,,0,.47556,,,,,,,,,
20006037,"  6037 (1988 EG)",6037,,,Y,Y,0,18.87,,,,,,,,,,2.7602,,,,,,,,,"JPL 153",2460200.5,60200,2023-09-13.0,J2000,0.4997,1.272,0.636,3.51,182.22,242.29,334.78,1.91,0.6873,2460237.20,2023-10-19.6,524,1.43,0.0239,9.32,3.44,4.95,9.2e-09,5.6e-10,1.2e-08,2.0e-06,2.2e-05,2.2e-05,1.6e-06,8.4e-10,4.5e-10,2.4e-06,3.5e-07,APO,"Otto Matic",12950,1988-03-12,2023-08-26,1058,5,4,0,.32113,,,,,,,,,
20006239,"  6239 Minos (1989 QF)",6239,Minos,,Y,Y,0,18.61,,,,,,,,,,3.5558,,,,,,,,,"JPL 241",2460200.5,60200,2023-09-13.0,J2000,0.4127,1.151,0.676,3.94,344.55,239.74,265.23,1.63,0.7981,2460319.25,2024-01-09.7,451,1.23,0.0262,10.2,3.36,5.38,2.4e-09,1.4e-09,3.0e-09,9.2e-08,2.0e-06,1.7e-06,3.3e-06,2.0e-09,1.4e-09,4.3e-06,8.1e-07,APO,"Otto Matic",14890,1983-01-14,2023-10-21,1502,3,0,0,.45851,,,,1.4e-14,2.3e-15,,,,
20006489,"  6489 Golevka (1991 JX)",6489,Golevka,,Y,Y,0,19.22,,,,,,,0.53,,0.151,6.026,,,,,Q,,,0.03,"JPL 107",2460200.5,60200,2023-09-13.0,J2000,0.6125,2.486,0.963,2.27,209.47,68.69,51.41,4.01,0.2514,2459996.00,2023-02-20.4,1.43e+03,3.92,0.0249,9.69,1.16,3.19,2.4e-09,1.9e-09,5.5e-09,6.2e-07,2.2e-05,2.3e-05,1.5e-06,3.1e-09,2.9e-10,5.6e-06,1.6e-06,APO,"Otto Matic",8968,1991-04-15,2015-11-03,1017,20,20,0,.62902,,,,-1.2e-14,1.5e-15,,,,
20006491,"  6491 (1991 OA)",6491,,,Y,Y,0,18.72,,,,,,,,,,2.69,,,,,,,,,"JPL 34",2460200.5,60200,2023-09-13.0,J2000,0.5904,2.502,1.025,5.94,301.88,323.67,43.34,3.98,0.249,2460026.47,2023-03-22.9,1.45e+03,3.96,0.0429,16.7,1.17,3.19,3.6e-08,1.2e-08,9.0e-08,7.7e-06,7.7e-05,7.6e-05,7.5e-06,1.9e-08,1.8e-09,3.0e-05,1.0e-05,AMO,"Otto Matic",11898,1991-03-18,2023-10-14,202,,,0,.56168,,,,,,,,,
20007335,"  7335 (1989 JA)",7335,,,Y,Y,1,17.70,,,,,,,1.8,,0.448,2.58988,,,,,,,,,"JPL 218",2460200.5,60200,2023-09-13.0,J2000,0.4846,1.772,0.913,15.17,61.28,232.29,181.98,2.63,0.418,2460626.43,2024-11-11.9,861,2.36,0.0212,8.27,2.67,3.92,3.8e-09,9.4e-10,6.5e-09,2.9e-07,5.0e-07,6.2e-07,9.1e-08,1.4e-09,3.3e-10,4.6e-07,6.9e-07,APO,"Otto Matic",12735,1989-04-06,2024-02-17,2603,4,5,0,.33895,,,,-2.4e-14,2.3e-15,,,,
20007341,"  7341 (1991 VK)",7341,,,Y,Y,0,16.96,,,,,,,0.982,,0.235,4.2096,,,,,Sq,,,0.32,"JPL 443",2460200.5,60200,2023-09-13.0,J2000,0.5061,1.841,0.909,5.41,294.74,173.49,240.08,2.77,0.3945,2460504.45,2024-07-12.9,912,2.5,0.0485,18.9,2.39,3.85,1.9e-09,3.0e-10,3.4e-09,1.1e-07,4.9e-06,5.5e-06,3.4e-07,4.5e-10,9.6e-11,9.0e-07,2.2e-07,APO,"Otto Matic",11636,1991-09-12,2023-07-22,2435,10,3,0,.34581,,,,-5.8e-15,9.3e-16,,,,
20007482,"  7482 (1994 PC1)",7482,,,Y,Y,0,16.66,,,,,,,1.052,,0.277,2.5999,,,,,S,,,0.30,"JPL 214",2460200.5,60200,2023-09-13.0,J2000,0.3294,1.349,0.904,33.47,117.86,47.51,354.82,1.79,0.6293,2460208.74,2023-09-21.2,572,1.57,0.00156,0.607,3.37,4.66,5.7e-09,6.2e-09,1.0e-08,6.0e-07,1.1e-06,2.2e-06,1.5e-06,8.3e-09,4.3e-09,2.4e-06,4.0e-06,APO,"Otto Matic",17476,1974-09-22,2022-07-28,1473,2,2,0,.36381,,,,3.8e-15,9.2e-15,,,,
20007753,"  7753 (1988 XB)",7753,,,Y,Y,0,18.02,,,,,,,,,,42.2,,,,,B,,,,"JPL 235",2460200.5,60200,2023-09-13.0,J2000,0.4816,1.467,0.761,3.12,73.39,280.08,234.01,2.17,0.5546,2460427.65,2024-04-27.1,649,1.78,0.00647,2.52,3.27,4.48,8.6e-09,1.9e-09,1.3e-08,3.5e-06,2.5e-05,2.5e-05,1.2e-06,2.9e-09,1.1e-09,2.6e-06,1.3e-06,APO,"Otto Matic",12528,1988-12-05,2023-03-25,1305,8,9,0,.41001,,,,-1.1e-14,3.7e-15,,,,
20007822,"  7822 (1991 CS)",7822,,,Y,Y,0,17.34,,,,,,,1.602,,0.075,2.3896,,,,,S,,,0.01,"JPL 314",2460200.5,60200,2023-09-13.0,J2000,0.1646,1.123,0.938,37.12,156.85,249.45,210.93,1.31,0.8285,2460380.42,2024-03-10.9,435,1.19,0.0223,8.69,3.96,5.37,1.1e-09,9.8e-10,1.0e-09,1.7e-07,2.3e-07,2.9e-07,2.5e-06,1.1e-09,1.1e-09,3.3e-06,5.7e-07,APO,"Otto Matic",11845,1991-01-19,2023-06-25,3954,0,4,0,.30085,,,,-5.6e-15,1.5e-15,,,,
20008014,"  8014 (1990 MF)",8014,,,Y,Y,0,18.88,,,,,,,0.7,,,50.09,,,,,,,,,"JPL 178",2460200.5,60200,2023-09-13.0,J2000,0.4562,1.747,0.950,1.87,209.84,114.74,120.72,2.54,0.4269,2459917.71,2022-12-04.2,843,2.31,0.0168,6.54,2.81,4.01,8.1e-09,6.5e-09,1.4e-08,5.2e-07,5.7e-05,5.7e-05,2.7e-06,9.5e-09,2.4e-09,4.9e-06,4.7e-06,APO,"Otto Matic",12294,1990-06-14,2024-02-10,1272,9,12,0,.29211,,,,-2.2e-14,4.3e-15,,,,
20008566,"  8566 (1996 EN)",8566,,,Y,Y,0,16.48,,,,,,,1.568,,0.217,4.845,,,,,U,,,0.26,"JPL 286",2460200.5,60200,2023-09-13.0,J2000,0.4303,1.506,0.858,37.98,164.12,125.13,236.86,2.15,0.5331,2460431.46,2024-04-30.9,675,1.85,0.0217,8.46,3.48,4.22,3.2e-09,8.9e-10,5.2e-09,2.9e-07,3.9e-07,6.6e-07,5.4e-07,1.3e-09,4.7e-10,1.1e-06,6.0e-07,APO,"Otto Matic",14918,1983-04-06,2024-02-08,3619,,,0,.37199,,,,,,,,,
20009856,"  9856 (1991 EE)",9856,,,Y,Y,0,17.11,,,,,,,1.0,,0.3,3.045,,,,,,,,,"JPL 194",2460200.5,60200,2023-09-13.0,J2000,0.6258,2.242,0.839,9.83,168.10,116.20,197.14,3.64,0.2936,2460755.20,2025-03-20.6,1.23e+03,3.36,0.0222,8.64,1.69,3.33,1.2e-08,1.6e-09,2.8e-08,4.5e-06,1.9e-05,2.0e-05,3.0e-06,2.6e-09,3.1e-10,1.1e-05,1.3e-06,APO,"Otto Matic",11992,1991-03-13,2024-01-11,1308,3,1,0,.36141,,,,,,,,,
20010115," 10115 (1992 SK)",10115,,,Y,Y,0,17.13,,,,,,,0.938,,0.318,7.319,,,,,S:,,,0.29,"JPL 312",2460200.5,60200,2023-09-13.0,J2000,0.3248,1.249,0.843,15.32,8.90,233.67,161.93,1.65,0.7065,2459971.29,2023-01-26.7,510,1.4,0.0468,18.2,3.4,5.06,2.4e-09,7.5e-10,3.3e-09,1.4e-07,6.0e-07,9.9e-07,9.6e-07,9.9e-10,6.3e-10,1.2e-06,4.6e-07,APO,"Otto Matic",25706,1953-10-12,2024-02-28,2016,10,7,0,.54452,,,,-8.3e-15,1.2e-15,,,,
20011500," 11500 Tomaiyowit (1989 UR)",11500,Tomaiyowit,,Y,Y,0,18.37,,,,,,,0.738,,0.142,73,,,,,S,,,0.01,"JPL 213",2460200.5,60200,2023-09-13.0,J2000,0.3558,1.08,0.696,10.31,234.39,289.53,332.26,1.46,0.8784,2460232.09,2023-10-14.5,410,1.12,0.0341,13.3,3.54,5.66,3.6e-08,6.5e-10,3.9e-08,3.3e-06,1.1e-05,1.2e-05,6.3e-06,8.9e-10,8.0e-10,7.2e-06,3.7e-07,APO,"Otto Matic",10889,1989-10-25,2019-08-18,1243,0,1,0,.41856,,,,,,,,,
20012538," 12538 (1998 OH)",12538,,,Y,Y,0,15.97,,,,,,,1.663,,0.232,2.575,,,,,S:,,,0.33,"JPL 585",2460200.5,60200,2023-09-13.0,J2000,0.4062,1.541,0.915,24.54,220.70,321.79,111.08,2.17,0.515,2459984.82,2023-02-09.3,699,1.91,0.0304,11.8,2.89,4.28,4.7e-10,2.7e-10,7.4e-10,1.5e-07,1.2e-07,1.9e-07,1.5e-07,3.8e-10,1.4e-10,2.8e-07,1.8e-07,APO,"Otto Matic",11773,1991-10-10,2024-01-03,11286,0,1,0,.24233,,,,,,,,,
