"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
3831888,"       (2018 UA1)","2018 UA1",,,Y,Y,0,19.90,,,,,,,,,,,,,,,,,0.59,,"JPL 22",2460200.5,60200,2023-09-13.0,J2000,0.6247,2.527,0.948,18.46,358.93,348.30,86.15,4.11,0.2453,2459849.32,2022-09-26.8,1.47e+03,4.02,0.0455,17.7,1.34,3.09,6.8e-08,6.9e-09,1.7e-07,1.9e-05,6.7e-05,7.7e-05,3.9e-06,1.1e-08,1.0e-09,1.6e-05,6.0e-06,APO,"Otto Matic",4425,2010-10-12,2022-11-23,229,,,0,.34515,,,,,,,,,
3831916,"       (2018 UQ1)","2018 UQ1",,,Y,Y,0,21.95,,,,,,,,,,3.9291,,,,,,,0.42,,"JPL 42",2460200.5,60200,2023-09-13.0,J2000,0.4913,1.614,0.821,1.62,254.30,220.05,107.31,2.41,0.4807,2459977.25,2023-02-01.7,749,2.05,0.01,3.9,2.73,4.19,1.3e-08,3.9e-09,2.1e-08,1.0e-06,4.6e-05,4.4e-05,9.7e-07,5.8e-09,1.7e-09,2.2e-06,2.7e-06,APO,"Otto Matic",1642,2018-10-20,2023-04-19,310,2,2,0,.3251,,,,,,,,,
3835509,"       (2018 UC2)","2018 UC2",,,Y,Y,0,21.90,,,,,,,,,,,,,,,,,0.49,,"JPL 17",2460200.5,60200,2023-09-13.0,J2000,0.4102,1.576,0.929,31.32,209.66,134.69,187.34,2.22,0.4982,2460547.08,2024-08-24.5,723,1.98,0.02,7.8,3.43,4.16,6.5e-08,3.0e-08,9.1e-08,1.3e-05,1.7e-06,2.1e-05,2.4e-05,4.2e-08,1.4e-08,5.8e-05,2.1e-05,APO,"Otto Matic",2393,2014-04-23,2020-11-10,247,,,0,.44042,,,,,,,,,
3836084,"       (2018 VG3)","2018 VG3",,,Y,Y,0,20.89,,,,,,,,,,,,,,,,,0.42,,"JPL 25",2460200.5,60200,2023-09-13.0,J2000,0.6501,1.508,0.528,6.01,355.99,283.53,275.20,2.49,0.5321,2460359.85,2024-02-19.3,677,1.85,0.00415,1.62,2.7,4.26,1.6e-07,1.7e-07,2.9e-07,9.7e-06,1.4e-04,1.1e-04,5.5e-05,2.8e-07,9.0e-08,1.3e-04,1.1e-04,APO,"Otto Matic",1196,2018-11-05,2022-02-13,117,,,2,.48842,,,,,,,,,
3836308,"       (2018 WR1)","2018 WR1",,,Y,Y,0,20.30,,,,,,,,,,68.6,,,,,,,0.44,,"JPL 35",2460200.5,60200,2023-09-13.0,J2000,0.6460,2.252,0.797,15.17,274.59,244.87,126.76,3.71,0.2917,2459765.93,2022-07-05.4,1.23e+03,3.38,0.0225,8.77,1.69,3.28,1.9e-06,1.0e-05,6.5e-07,4.8e-05,3.0e-05,4.6e-05,3.3e-03,1.7e-05,2.0e-06,8.3e-03,8.3e-03,APO,"Otto Matic",185,2018-11-27,2019-05-31,183,,,3,.46804,,,,,,,,,
3836663,"       (2018 WP2)","2018 WP2",,,Y,Y,0,21.80,,,,,,,,,,,,,,,,,0.52,,"JPL 18",2460200.5,60200,2023-09-13.0,J2000,0.5222,1.944,0.929,7.90,55.06,309.60,292.84,2.96,0.3637,2460385.17,2024-03-15.6,990,2.71,0.0304,11.8,2.52,3.71,6.4e-05,2.7e-04,4.0e-06,5.2e-04,6.6e-04,1.5e-03,1.3e-01,4.1e-04,7.5e-05,4.1e-01,2.0e-01,APO,"Otto Matic",39,2018-11-29,2019-01-07,85,,,6,.49034,,,,,,,,,
3836731,"       (2018 WE3)","2018 WE3",,,Y,Y,0,20.95,,,,,,,,,,,,,,,,,0.21,,"JPL 7",2460200.5,60200,2023-09-13.0,J2000,0.6611,2.727,0.924,8.71,240.66,159.44,32.42,4.53,0.2189,2460052.39,2023-04-17.8,1.64e+03,4.5,0.0259,10.1,0.967,2.98,3.3e-06,2.5e-05,4.8e-07,2.8e-05,1.2e-04,1.0e-04,5.5e-03,4.2e-05,3.1e-06,2.3e-02,2.3e-02,APO,"Otto Matic",215,2018-07-08,2019-02-08,56,,,4,.50469,,,,,,,,,
3836727,"       (2018 XR)","2018 XR",,,Y,Y,0,18.58,,,,,,,,,,15.27,,,,,,,0.63,,"JPL 53",2460200.5,60200,2023-09-13.0,J2000,0.6668,2.153,0.717,20.52,78.29,114.53,155.89,3.59,0.3119,2459700.70,2022-05-01.1,1.15e+03,3.16,0.0471,18.3,1.84,3.31,3.1e-08,1.9e-08,6.1e-08,1.6e-05,1.5e-05,1.7e-05,1.8e-06,3.2e-08,4.2e-09,3.7e-06,1.5e-05,APO,"Otto Matic",2849,2014-09-28,2022-07-17,303,4,1,0,.35392,,,,,,,,,
3836888,"       (2018 XY3)","2018 XY3",,,Y,Y,0,19.72,,,,,,,,,,,,,,,,,0.45,,"JPL 18",2460200.5,60200,2023-09-13.0,J2000,0.6208,2.101,0.797,20.27,80.77,108.30,184.01,3.41,0.3236,2460744.32,2025-03-09.8,1.11e+03,3.05,0.0374,14.6,1.99,3.41,6.0e-08,2.3e-08,1.3e-07,1.2e-05,3.6e-05,3.5e-05,9.6e-06,3.8e-08,5.4e-09,3.8e-05,1.9e-05,APO,"Otto Matic",2466,2015-10-24,2022-07-25,102,,,0,.52422,,,,,,,,,
3836920,"       (2018 XG5)","2018 XG5",,,Y,Y,0,20.30,,,,,,,,,,2.6594,,,,,,,0.33,,"JPL 75",2460200.5,60200,2023-09-13.0,J2000,0.6234,2.434,0.917,12.91,215.50,320.64,61.90,3.95,0.2596,2459962.07,2023-01-17.5,1.39e+03,3.8,0.00216,0.84,1.22,3.18,9.4e-09,3.5e-08,1.9e-08,3.5e-06,6.5e-06,7.8e-06,9.2e-06,5.7e-08,5.6e-09,3.0e-05,3.0e-05,APO,"Otto Matic",1621,2018-12-13,2023-05-22,461,2,0,0,.40708,,,,,,,,,
3836936,"       (2018 XV5)","2018 XV5",,,Y,Y,0,17.71,,,,,,,,,,79.64,,,,,,,0.35,,"JPL 168",2460200.5,60200,2023-09-13.0,J2000,0.6337,2.585,0.947,11.23,154.89,161.20,97.29,4.22,0.2371,2459790.27,2022-07-29.7,1.52e+03,4.16,0.0333,13,1.17,3.08,1.1e-08,1.4e-08,2.7e-08,2.5e-06,2.2e-05,2.1e-05,1.5e-06,2.3e-08,1.9e-09,5.5e-06,1.2e-05,APO,"Otto Matic",10802,1993-06-15,2023-01-11,1123,,,0,.3768,,,,,,,,,
3836942,"       (2018 YH)","2018 YH",,,Y,Y,0,21.70,,,,,,,,,,,,,,,,,0.41,,"JPL 16",2460200.5,60200,2023-09-13.0,J2000,0.2640,1.119,0.824,11.92,320.50,245.73,282.52,1.41,0.8323,2460293.60,2023-12-15.0,433,1.18,0.0325,12.7,3.58,5.52,9.6e-08,7.0e-09,1.1e-07,5.3e-06,2.4e-05,1.9e-05,2.1e-05,8.9e-09,7.8e-09,2.6e-05,4.1e-06,APO,"Otto Matic",2240,2013-09-03,2019-10-22,71,,,0,.44331,,,,,,,,,
3836943,"       (2018 YJ)","2018 YJ",,,Y,Y,0,18.41,,,,,,,,,,,,,,,,,0.36,,"JPL 24",2460200.5,60200,2023-09-13.0,J2000,0.5591,2.312,1.019,18.09,25.96,153.69,107.50,3.60,0.2804,2459817.15,2022-08-25.6,1.28e+03,3.51,0.0487,18.9,1.42,3.3,1.3e-07,1.1e-07,2.8e-07,1.3e-05,3.2e-05,3.5e-05,3.0e-05,1.6e-07,1.9e-08,8.2e-05,8.8e-05,AMO,"Otto Matic",2566,2014-11-17,2021-11-26,112,,,0,.45264,,,,,,,,,
3837522,"       (2018 YJ2)","2018 YJ2",,,Y,Y,0,21.72,,,,,,,,,,,,,,,,,,,"JPL 25",2460200.5,60200,2023-09-13.0,J2000,0.4039,1.161,0.692,6.52,65.13,293.34,326.64,1.63,0.788,2460242.83,2023-10-25.3,457,1.25,0.033,12.8,3.83,5.34,6.5e-08,1.2e-09,7.6e-08,4.8e-06,5.4e-05,5.1e-05,7.3e-06,1.7e-09,1.2e-09,9.4e-06,7.2e-07,APO,"Otto Matic",3937,2013-04-06,2024-01-16,185,,,0,.47378,,,,,,,,,
