name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Al Zarnkh,447,Valid,LL5,700.0,Fell,2001,13.66033,28.96,"(13.66033, 28.96)"
Alby sur Chéran,458,Valid,Eucrite-mmict,252.0,Fell,2002,45.82133,6.01533,"(45.82133, 6.01533)"
Almahata Sitta,48915,Valid,Ureilite-an,3950.0,Fell,2008,20.74575,32.41275,"(20.74575, 32.41275)"
Ash Creek,48954,Valid,L6,9500.0,Fell,2009,31.805,-97.01,"(31.805, -97.01)"
Bassikounou,44876,Valid,H5,29560.0,Fell,2006,15.78333,-5.9,"(15.78333, -5.9)"
Battle Mountain,56133,Valid,L6,2900.0,Fell,2012,40.66813,-117.18913,"(40.66813, -117.18913)"
Benguerir,30443,Valid,LL6,25000.0,Fell,2004,32.25,-8.15,"(32.25, -8.15)"
Beni M'hira,5018,Valid,L6,19000.0,Fell,2001,32.86667,10.8,"(32.86667, 10.8)"
Bensour,5024,Valid,LL6,45000.0,Fell,2002,30.0,-7.0,"(30.0, -7.0)"
Berduc,48975,Valid,L6,270.0,Fell,2008,-31.91,-58.32833,"(-31.91, -58.32833)"
Berthoud,47355,Valid,Eucrite-mmict,960.0,Fell,2004,40.30583,-105.02325,"(40.30583, -105.02325)"
Bhawad,36591,Valid,LL6,678.0,Fell,2002,26.50833,73.11528,"(26.50833, 73.11528)"
Boumdeid (2003),57168,Valid,L6,190.0,Fell,2003,17.71067,-11.3715,"(17.71067, -11.3715)"
Boumdeid (2011),57167,Valid,L6,3599.0,Fell,2011,17.17493,-11.34133,"(17.17493, -11.34133)"
Bukhara,30448,Valid,CV3,5300.0,Fell,2001,39.77978,64.60035,"(39.77978, 64.60035)"
Bunburra Rockhole,48653,Valid,Eucrite,324.0,Fell,2007,-31.35,129.19,"(-31.35, 129.19)"
Buzzard Coulee,48654,Valid,H4,41000.0,Fell,2008,52.996,-109.84817,"(52.996, -109.84817)"
Cali,45976,Valid,H/L4,478.0,Fell,2007,3.405,-76.51,"(3.405, -76.51)"
Carancas,45817,Valid,H4-5,342.0,Fell,2007,-16.66444,-69.04389,"(-16.66444, -69.04389)"
Chelyabinsk,57165,Valid,LL5,100000.0,Fell,2013,54.81667,61.11667,"(54.81667, 61.11667)"
Chergach,47347,Valid,H5,100000.0,Fell,2007,23.69639,-5.01472,"(23.69639, -5.01472)"
Daule,51559,Valid,L5,6580.0,Fell,2008,-1.87089,-79.95756,"(-1.87089, -79.95756)"
Dergaon,6664,Valid,H5,12500.0,Fell,2001,26.68333,93.86667,"(26.68333, 93.86667)"
Devgaon,6694,Valid,H3.8,12000.0,Fell,2001,19.0,81.0,"(19.0, 81.0)"
Didim,47350,Valid,H3-5,3396.0,Fell,2007,37.35172,27.32997,"(37.35172, 27.32997)"
Gasseltepaoua,10866,Valid,H5,-1.0,Fell,2000,14.15083,-2.04167,"(14.15083, -2.04167)"
Grimsby,50911,Valid,H5,215.0,Fell,2009,43.2,-79.61667,"(43.2, -79.61667)"
Hiroshima,11889,Valid,H5,414.0,Fell,2003,34.45,132.38333,"(34.45, 132.38333)"
Hoima,44714,Valid,H6,167.7,Fell,2003,1.345,31.47278,"(1.345, 31.47278)"
Huaxi,54719,Valid,H5,1600.0,Fell,2010,26.46469,106.63241,"(26.46469, 106.63241)"
Jesenice,51589,Valid,L6,3667.0,Fell,2009,46.42137,14.05217,"(46.42137, 14.05217)"
Jodiya,47362,Valid,L5,100.0,Fell,2006,22.68,70.31333,"(22.68, 70.31333)"
Kaprada,47357,Valid,L5/6,1600.0,Fell,2004,20.33916,73.22329,"(20.33916, 73.22329)"
Kasauli,30740,Valid,H4,16820.0,Fell,2003,29.58333,77.58333,"(29.58333, 77.58333)"
Kavarpura,47351,Valid,"Iron, IIE-an",6800.0,Fell,2006,25.14333,75.81333,"(25.14333, 75.81333)"
Kemer,53654,Valid,L4,5760.0,Fell,2008,36.54194,29.41822,"(36.54194, 29.41822)"
Kendrapara,12276,Valid,H4-5,6669.2,Fell,2003,20.4625,86.70278,"(20.4625, 86.70278)"
Kilabo,12307,Valid,LL6,19000.0,Fell,2002,12.76667,9.8,"(12.76667, 9.8)"
Košice,53810,Valid,H5,4300.0,Fell,2010,48.76367,21.17633,"(48.76367, 21.17633)"
Lorton,52843,Valid,L6,329.7,Fell,2010,38.70066,-77.21163,"(38.70066, -77.21163)"
Mahadevpur,47361,Valid,H4/5,70500.0,Fell,2007,27.66667,95.78333,"(27.66667, 95.78333)"
Maigatari-Danduma,30751,Valid,H5/6,4629.0,Fell,2004,12.83333,9.38333,"(12.83333, 9.38333)"
Maribo,48973,Valid,CM2,25.81,Fell,2009,54.76183,11.46745,"(54.76183, 11.46745)"
Maromandia,15430,Valid,L6,6000.0,Fell,2002,-14.2,48.1,"(-14.2, 48.1)"
Mason Gully,53653,Valid,H5,24.54,Fell,2010,0.0,0.0,"(0.0, 0.0)"
Mifflin,52090,Valid,L5,3584.0,Fell,2010,42.9075,-90.36556,"(42.9075, -90.36556)"
Morávka,16742,Valid,H5,633.0,Fell,2000,49.6,18.53333,"(49.6, 18.53333)"
Moss,36592,Valid,CO3.6,3763.0,Fell,2006,59.43333,10.7,"(59.43333, 10.7)"
Neuschwanstein,16950,Valid,EL6,6189.0,Fell,2002,47.525,10.80833,"(47.525, 10.80833)"
New Orleans,16960,Valid,H5,19256.0,Fell,2003,29.94718,-90.10976,"(29.94718, -90.10976)"
Orlando,34489,Valid,Eucrite,180.0,Fell,2004,28.5475,-81.36222,"(28.5475, -81.36222)"
Ouadangou,56729,Valid,L5,4440.0,Fell,2003,12.9,0.08,"(12.9, 0.08)"
Oum Dreyga,31282,Valid,H3-5,17000.0,Fell,2003,24.3,-13.1,"(24.3, -13.1)"
Park Forest,18106,Valid,L5,18000.0,Fell,2003,41.48472,-87.67917,"(41.48472, -87.67917)"
Pleşcoi,51706,Valid,L5-6,6913.0,Fell,2008,45.275,26.70972,"(45.275, 26.70972)"
Puerto Lápice,45984,Valid,Eucrite-br,500.0,Fell,2007,39.35,-3.51667,"(39.35, -3.51667)"
Red Canyon Lake,53502,Valid,H5,18.41,Fell,2007,38.13742,-119.75812,"(38.13742, -119.75812)"
San Michele,31315,Valid,L6,237.0,Fell,2002,43.66667,13.0,"(43.66667, 13.0)"
Santa Lucia (2008),50909,Valid,L6,4000.0,Fell,2008,-31.535556,-68.489444,"(-31.535556, -68.489444)"
Sołtmany,53829,Valid,L6,1066.0,Fell,2011,54.00883,22.005,"(54.00883, 22.005)"
Sulagiri,48951,Valid,LL6,110000.0,Fell,2008,12.66667,78.03333,"(12.66667, 78.03333)"
Sutter's Mill,55529,Valid,C,992.5,Fell,2012,38.80389,-120.90806,"(38.80389, -120.90806)"
Tagish Lake,23782,Valid,C2-ung,10000.0,Fell,2000,59.70444,-134.20139,"(59.70444, -134.20139)"
Tamdakht,48691,Valid,H5,100000.0,Fell,2008,31.16333,-7.015,"(31.16333, -7.015)"
Thika,54493,Valid,L6,14200.0,Fell,2011,-1.00278,37.15028,"(-1.00278, 37.15028)"
Thuathe,23976,Valid,H4/5,45300.0,Fell,2002,-29.33333,27.58333,"(-29.33333, 27.58333)"
Tissint,54823,Valid,Martian (shergottite),7000.0,Fell,2011,29.48195,-7.61123,"(29.48195, -7.61123)"
Varre-Sai,53633,Valid,L5,2500.0,Fell,2010,-20.85001,-41.73356,"(-20.85001, -41.73356)"
Villalbeto de la Peña,24179,Valid,L6,3500.0,Fell,2004,42.8,-4.66667,"(42.8, -4.66667)"
Werdama,47344,Valid,H5,4000.0,Fell,2006,32.79732,21.78713,"(32.79732, 21.78713)"
Whetstone Mountains,49514,Valid,H5,2138.74,Fell,2009,31.96185,-110.434183,"(31.96185, -110.434183)"
Yafa,24351,Valid,H5,5700.0,Fell,2000,13.71111,45.17,"(13.71111, 45.17)"
Abar al' Uj 001,51399,Valid,H3.8,194.34,Found,2008,22.72192,48.95937,"(22.72192, 48.95937)"
Acfer 321,329,Valid,H5,157.0,Found,2001,27.5455,4.06117,"(27.5455, 4.06117)"
Acfer 322,330,Valid,L5,25.0,Found,2001,27.55917,4.093,"(27.55917, 4.093)"
Acfer 323,331,Valid,LL5,117.0,Found,2001,27.503,3.8795,"(27.503, 3.8795)"
Acfer 324,30428,Valid,CR2,69.0,Found,2001,27.50083,3.86983,"(27.50083, 3.86983)"
Acfer 327,334,Valid,H5,745.22,Found,2001,27.73333,4.43333,"(27.73333, 4.43333)"
Acfer 328,335,Valid,CV3,180.07,Found,2001,27.73333,4.21667,"(27.73333, 4.21667)"
Acfer 329,336,Valid,L4/5,30000.0,Found,2001,27.58333,4.1,"(27.58333, 4.1)"
Acfer 330,337,Valid,L6,490.0,Found,2001,27.65,4.03333,"(27.65, 4.03333)"
Acfer 331,338,Valid,CM2,750.0,Found,2001,27.58333,4.01667,"(27.58333, 4.01667)"
Acfer 332,339,Valid,CO3,115.02,Found,2001,27.73333,4.13333,"(27.73333, 4.13333)"
Acfer 333,340,Valid,CO3,489.0,Found,2001,27.56667,4.06667,"(27.56667, 4.06667)"
Acfer 334,341,Valid,L6,211.25,Found,2002,27.65,4.38333,"(27.65, 4.38333)"
Acfer 335,342,Valid,H4,261.0,Found,2002,27.73333,4.43333,"(27.73333, 4.43333)"
Acfer 336,343,Valid,L3.8,19400.0,Found,2002,27.61667,4.06667,"(27.61667, 4.06667)"
Acfer 337,344,Valid,L3.8,360.0,Found,2002,27.68333,4.26667,"(27.68333, 4.26667)"
Acfer 338,345,Valid,H6,377.6,Found,2002,27.71667,4.26667,"(27.71667, 4.26667)"
Acfer 339,346,Valid,H5,400.0,Found,2002,27.55,4.2,"(27.55, 4.2)"
Acfer 340,347,Valid,L5,173.15,Found,2002,27.58333,4.3,"(27.58333, 4.3)"
Acfer 341,32781,Valid,L3,132.0,Found,2002,27.46667,3.83333,"(27.46667, 3.83333)"
Acfer 342,348,Valid,L6,1276.0,Found,2002,27.59056,4.66278,"(27.59056, 4.66278)"
Acfer 343,349,Valid,H3-5,140.0,Found,2002,27.619722,4.265,"(27.619722, 4.265)"
Acfer 344,350,Valid,H3,410.0,Found,2002,27.73333,4.19833,"(27.73333, 4.19833)"
Acfer 345,351,Valid,LL5,53.0,Found,2002,27.46472,3.81417,"(27.46472, 3.81417)"
Acfer 346,352,Valid,LL6,546.0,Found,2002,27.59056,4.66278,"(27.59056, 4.66278)"
Acfer 347,353,Valid,L3,1165.0,Found,2001,27.68333,4.3,"(27.68333, 4.3)"
Acfer 348,354,Valid,L5,8750.0,Found,2001,27.97933,4.27817,"(27.97933, 4.27817)"
Acfer 349,355,Valid,H6,298.0,Found,2001,27.84067,4.31433,"(27.84067, 4.31433)"
Acfer 350,356,Valid,H4,128.0,Found,2001,27.672,4.52633,"(27.672, 4.52633)"
Acfer 351,357,Valid,L6,211.0,Found,2001,27.7,4.13333,"(27.7, 4.13333)"
Acfer 352,358,Valid,L5,873.0,Found,2001,27.76667,4.01667,"(27.76667, 4.01667)"
Acfer 353,359,Valid,Eucrite-cm,11935.0,Found,2001,27.48917,3.89,"(27.48917, 3.89)"
Acfer 354,360,Valid,LL5,252.0,Found,2001,27.5005,3.88233,"(27.5005, 3.88233)"
Acfer 355,361,Valid,LL5,161.0,Found,2002,27.58967,3.781,"(27.58967, 3.781)"
Acfer 356,362,Valid,EL6,120.0,Found,2002,27.61233,4.5285,"(27.61233, 4.5285)"
Acfer 357,363,Valid,LL5,62.0,Found,2001,27.50083,4.87467,"(27.50083, 4.87467)"
Acfer 358,364,Valid,H6,70.0,Found,2002,27.76667,4.41667,"(27.76667, 4.41667)"
Acfer 359,365,Valid,H6,67.0,Found,2002,27.7,4.48333,"(27.7, 4.48333)"
Acfer 360,30430,Valid,Ureilite,68.0,Found,2002,27.48333,3.76667,"(27.48333, 3.76667)"
Acfer 361,366,Valid,H4,138.0,Found,2002,27.42958,3.87135,"(27.42958, 3.87135)"
Acfer 362,367,Valid,H5,242.8,Found,2002,27.4778,3.70165,"(27.4778, 3.70165)"
Acfer 363,368,Valid,LL4,389.9,Found,2002,27.58163,4.29388,"(27.58163, 4.29388)"
Acfer 364,30431,Valid,LL6,656.0,Found,2002,27.7,4.51667,"(27.7, 4.51667)"
Acfer 365,30432,Valid,L5,1456.0,Found,2002,27.60933,3.93567,"(27.60933, 3.93567)"
Acfer 366,32782,Valid,CH3,1456.0,Found,2002,26.60933,3.93567,"(26.60933, 3.93567)"
Acfer 367,30433,Valid,H5,410.0,Found,2002,27.68433,4.42917,"(27.68433, 4.42917)"
Acfer 368,30434,Valid,H4,126.0,Found,2002,27.68883,4.386,"(27.68883, 4.386)"
Acfer 369,30435,Valid,H4,122.0,Found,2002,27.667,4.64833,"(27.667, 4.64833)"
Acfer 370,32783,Valid,Chondrite-ung,129.0,Found,2002,27.6725,4.35667,"(27.6725, 4.35667)"
Acfer 371,34017,Valid,L5,9608.0,Found,2002,27.67817,4.46533,"(27.67817, 4.46533)"
Acfer 372,30436,Valid,LL6,238.0,Found,2002,26.61167,3.887,"(26.61167, 3.887)"
Acfer 373,30437,Valid,H5,128.0,Found,2002,26.62583,3.94433,"(26.62583, 3.94433)"
Acfer 374,32784,Valid,CO3,118.0,Found,2002,26.60867,4.053,"(26.60867, 4.053)"
Acfer 375,30438,Valid,LL6,495.0,Found,2002,27.5085,3.76383,"(27.5085, 3.76383)"
Acfer 376,30439,Valid,H6,132.0,Found,2002,27.6395,3.935,"(27.6395, 3.935)"
Acfer 377,30440,Valid,L4,132.0,Found,2002,27.6625,3.97683,"(27.6625, 3.97683)"
Acfer 378,35480,Valid,LL6,1320.0,Found,2003,27.4,3.75,"(27.4, 3.75)"
Acfer 379,35338,Valid,H4,14764.0,Found,2004,27.4114,3.70467,"(27.4114, 3.70467)"
Acfer 380,35481,Valid,H5,849.0,Found,2002,27.76667,4.41667,"(27.76667, 4.41667)"
Acfer 381,35482,Valid,L6,292.0,Found,2002,27.7,4.45,"(27.7, 4.45)"
Acfer 382,35483,Valid,H5,101.0,Found,2002,27.63333,3.93333,"(27.63333, 3.93333)"
Acfer 386,44851,Valid,L5,200.0,Found,2004,27.36017,3.7,"(27.36017, 3.7)"
Acfer 387,44852,Valid,H4-6,177.0,Found,2004,27.558,4.015,"(27.558, 4.015)"
Acfer 388,44853,Valid,H4,1072.0,Found,2004,27.61667,3.86667,"(27.61667, 3.86667)"
Acfer 389,44854,Valid,H5,397.0,Found,2004,27.504,3.68167,"(27.504, 3.68167)"
Acfer 390,44855,Valid,H4,578.0,Found,2004,27.5025,3.693,"(27.5025, 3.693)"
Acfer 391,53622,Valid,H4,388.0,Found,2004,27.59617,4.172,"(27.59617, 4.172)"
Acfer 394,53886,Valid,CR2,364.0,Found,2001,27.51867,3.88033,"(27.51867, 3.88033)"
Acfer 395,53887,Valid,CR2,394.0,Found,2001,27.50917,3.88767,"(27.50917, 3.88767)"
Acfer 396,53888,Valid,CR2,148.0,Found,2001,27.512,3.89783,"(27.512, 3.89783)"
Acfer 397,53889,Valid,CR2,105.0,Found,2001,27.509,3.89583,"(27.509, 3.89583)"
Acfer 398,55262,Valid,CR2,97.0,Found,2001,27.50217,3.86083,"(27.50217, 3.86083)"
Acfer 399,55263,Valid,CR2,89.0,Found,2001,27.50267,3.8725,"(27.50267, 3.8725)"
Acfer 400,55264,Valid,CR2,101.0,Found,2001,27.50083,3.86617,"(27.50083, 3.86617)"
Acfer 401,56305,Valid,L5,9.0,Found,2002,27.68917,4.44267,"(27.68917, 4.44267)"
Adam Talha,44856,Valid,LL3.2,259.3,Found,2005,22.9935,-10.15367,"(22.9935, -10.15367)"
Adrar Bous,384,Valid,EL5,360.0,Found,2001,20.5,9.0,"(20.5, 9.0)"
Adrar Chiriet,44703,Valid,L6,926.0,Found,2003,19.64008,9.35545,"(19.64008, 9.35545)"
Adrar Madet 002,386,Valid,LL3,2200.0,Found,2002,18.61042,10.4941,"(18.61042, 10.4941)"
Adrar Yaouelt,387,Valid,H5,2730.0,Found,2002,17.67987,10.03503,"(17.67987, 10.03503)"
Agoudal,57354,Valid,"Iron, IIAB",100000.0,Found,2000,31.98457,-5.51528,"(31.98457, -5.51528)"
Agoult,395,Valid,Eucrite,82.0,Found,2000,30.55,-4.9,"(30.55, -4.9)"
Aguemour 017,416,Valid,L6,1000.0,Found,2001,27.4,4.35,"(27.4, 4.35)"
Al Alamayn,35484,Valid,H5,13.31,Found,2005,30.70952,28.9698,"(30.70952, 28.9698)"
Al Haggounia 001,44857,Valid,Aubrite,3000000.0,Found,2006,27.5,-12.5,"(27.5, -12.5)"
Al Huqf 001,434,Valid,L4,41.5,Found,2000,19.42,57.18833,"(19.42, 57.18833)"
Al Huqf 002,435,Valid,H5,81.4,Found,2000,19.27167,57.38667,"(19.27167, 57.38667)"
Al Huqf 003,436,Valid,L4,115.42,Found,2002,19.50695,57.11952,"(19.50695, 57.11952)"
Al Huqf 004,437,Valid,L5,260.22,Found,2002,19.54482,57.09807,"(19.54482, 57.09807)"
Al Huqf 005,438,Valid,L6,763.29,Found,2002,19.84057,57.00848,"(19.84057, 57.00848)"
Al Huqf 006,439,Valid,L6,1861.21,Found,2002,19.84067,57.00842,"(19.84067, 57.00842)"
Al Huqf 007,440,Valid,L5,1042.7,Found,2002,19.84128,57.00953,"(19.84128, 57.00953)"
Al Huqf 008,441,Valid,L6,1074.3,Found,2002,19.84203,57.00747,"(19.84203, 57.00747)"
Al Huqf 009,442,Valid,H4,39.83,Found,2002,19.8423,57.00013,"(19.8423, 57.00013)"
Al Huqf 010,443,Valid,L6,41539.3,Found,2002,19.86785,57.0028,"(19.86785, 57.0028)"
Al Huqf 011,444,Valid,L6,8056.0,Found,2002,19.86607,57.0032,"(19.86607, 57.0032)"
Al Huqf 012,445,Valid,L6,402.75,Found,2003,19.80252,57.32137,"(19.80252, 57.32137)"
Al Huqf 050,35485,Valid,H4,1066.2,Found,2002,19.60308,57.03332,"(19.60308, 57.03332)"
Al Huqf 051,35486,Valid,L6,402.75,Found,2003,19.80252,57.32137,"(19.80252, 57.32137)"
Al Huqf 052,45822,Valid,H~5,1319.4,Found,2001,19.65675,57.0433,"(19.65675, 57.0433)"
Al Huqf 053,45823,Valid,H~5,854.7,Found,2001,19.61287,57.27038,"(19.61287, 57.27038)"
Al Huqf 054,45824,Valid,L~6,2936.5,Found,2001,19.61612,57.2698,"(19.61612, 57.2698)"
Al Huqf 055,45825,Valid,H4,1865.6,Found,2001,19.64073,57.28857,"(19.64073, 57.28857)"
Al Huqf 056,45826,Valid,H5,124.0,Found,2001,19.66453,57.3334,"(19.66453, 57.3334)"
Al Huqf 057,45827,Valid,H5,105.3,Found,2001,19.53112,57.08427,"(19.53112, 57.08427)"
Al Huqf 058,45828,Valid,L~6,97.7,Found,2001,19.3421,57.1693,"(19.3421, 57.1693)"
Al Huqf 059,45829,Valid,L~3,362.7,Found,2001,19.31468,57.27343,"(19.31468, 57.27343)"
Al Huqf 060,45830,Valid,L~6,913.1,Found,2001,19.40518,57.26818,"(19.40518, 57.26818)"
Al Huqf 062,45831,Valid,H~4,50.7,Found,2001,19.40772,57.29878,"(19.40772, 57.29878)"
Al Huqf 063,45832,Valid,L6,591.8,Found,2006,19.44533,57.02345,"(19.44533, 57.02345)"
Al Huqf 064,48536,Valid,H4,12834.0,Found,2002,19.40412,57.27497,"(19.40412, 57.27497)"
Al Huqf 065,48537,Valid,L6,2084.16,Found,2007,19.32092,57.22977,"(19.32092, 57.22977)"
Al Huqf 066,48538,Valid,L4,150.057,Found,2007,19.51053,57.1292,"(19.51053, 57.1292)"
Al Huqf 067,51921,Valid,H4,61.6,Found,2009,19.22597,57.54063,"(19.22597, 57.54063)"
Al Huqf 068,51922,Valid,L3,165.4,Found,2009,19.14025,57.58427,"(19.14025, 57.58427)"
Al Huqf 069,51923,Valid,H4/5,250.5,Found,2009,19.26795,57.13412,"(19.26795, 57.13412)"
Al Huqf 070,51937,Valid,L4,2632.8,Found,2009,19.18798,57.10978,"(19.18798, 57.10978)"
Al Huwaysah 001,55403,Valid,LL6,3150.5,Found,2009,22.80487,55.32742,"(22.80487, 55.32742)"
Al Huwaysah 002,55404,Valid,LL6,690.5,Found,2009,22.79853,55.31673,"(22.79853, 55.31673)"
Al Huwaysah 003,55405,Valid,L4-6,273.05,Found,2010,22.74862,55.37323,"(22.74862, 55.37323)"
Al Huwaysah 004,55406,Valid,H5,141.51,Found,2010,22.74733,55.39522,"(22.74733, 55.39522)"
Al Huwaysah 005,55636,Valid,L(LL)3.5-3.7,1228.1,Found,2010,22.73342,55.33122,"(22.73342, 55.33122)"
Al Huwaysah 006,55407,Valid,L6,16.41,Found,2010,22.73743,55.3191,"(22.73743, 55.3191)"
Al Huwaysah 007,55408,Valid,L6,1.56,Found,2010,22.73393,55.3204,"(22.73393, 55.3204)"
Al Huwaysah 008,55409,Valid,H4,356.2,Found,2010,22.73797,55.32125,"(22.73797, 55.32125)"
Al Huwaysah 009,55410,Valid,H6,3407.8,Found,2010,22.75747,55.41402,"(22.75747, 55.41402)"
Al Huwaysah 010,55637,Valid,Achondrite-ung,1411.8,Found,2010,22.74868,55.47218,"(22.74868, 55.47218)"
Al Huwaysah 011,55411,Valid,L4-5,112.76,Found,2010,22.75978,55.3908,"(22.75978, 55.3908)"
Al Huwaysah 012,55412,Valid,H5,4694.9,Found,2010,22.67752,55.34027,"(22.67752, 55.34027)"
Al Huwaysah 013,56408,Valid,H6,55.51,Found,2010,22.68423,55.33652,"(22.68423, 55.33652)"
Al Huwaysah 014,55413,Valid,H6,45.52,Found,2010,22.68598,55.32092,"(22.68598, 55.32092)"
Al Huwaysah 015,56409,Valid,H6,35.3,Found,2010,22.68922,55.32087,"(22.68922, 55.32087)"
Al Huwaysah 016,55414,Valid,H5,1330.9,Found,2010,22.69813,55.3336,"(22.69813, 55.3336)"
Al Huwaysah 017,55415,Valid,L6,439.58,Found,2010,22.73852,55.36247,"(22.73852, 55.36247)"
Alaer 001,49713,Valid,LL5,1.7,Found,2007,40.33333,81.25,"(40.33333, 81.25)"
Alaer 002,49714,Valid,LL5,1.1,Found,2007,40.33333,81.25,"(40.33333, 81.25)"
Alkali Flat,55662,Valid,L5,28.0,Found,2011,32.306,-108.9038,"(32.306, -108.9038)"
Allan Hills 06001,44858,Valid,H5,128.1,Found,2006,-76.71695,158.76862,"(-76.71695, 158.76862)"
Allan Hills 06002,44859,Valid,H~5,119.2,Found,2006,-76.74253,158.84305,"(-76.74253, 158.84305)"
Allan Hills 06003,44860,Valid,H~5,25.0,Found,2006,-76.71128,158.79283,"(-76.71128, 158.79283)"
Allan Hills 06004,44861,Valid,H~5,61.7,Found,2006,-76.70522,158.77838,"(-76.70522, 158.77838)"
Allan Hills 06005,44862,Valid,H~5,6.0,Found,2006,-76.70522,158.77838,"(-76.70522, 158.77838)"
Allan Hills 06006,44863,Valid,H~5,280.9,Found,2006,-76.70558,158.77587,"(-76.70558, 158.77587)"
Allan Hills 06007,44864,Valid,H5,226.3,Found,2006,-76.70552,158.77583,"(-76.70552, 158.77583)"
Allan Hills 06008,44865,Valid,H~5,120.0,Found,2006,-76.70552,158.77485,"(-76.70552, 158.77485)"
Allan Hills 06009,44866,Valid,H~5,28.6,Found,2006,-76.71215,158.77527,"(-76.71215, 158.77527)"
Allan Hills 06010,44867,Valid,H~5,1.08,Found,2006,-76.71263,158.77862,"(-76.71263, 158.77862)"
Allan Hills 06011,44868,Valid,H~5,24.3,Found,2006,-76.71255,158.7786,"(-76.71255, 158.7786)"
Allan Hills 06012,44869,Valid,H5,91.0,Found,2006,-76.71733,158.77398,"(-76.71733, 158.77398)"
Allan Hills 09001,55346,Valid,L5/6,0.5,Found,2009,-76.74403,159.37238,"(-76.74403, 159.37238)"
Allan Hills 09002,55347,Valid,L6,71.6,Found,2009,-76.74245,159.37458,"(-76.74245, 159.37458)"
Allan Hills 09003,55348,Valid,L6,15.5,Found,2009,-76.74245,159.37458,"(-76.74245, 159.37458)"
Allan Hills 09004,52119,Valid,Howardite,221.7,Found,2009,0.0,0.0,"(0.0, 0.0)"
Allan Hills 09005,55797,Valid,L5,122.3,Found,2009,0.0,0.0,"(0.0, 0.0)"
Allan Hills 09006,55798,Valid,H5,104.3,Found,2009,0.0,0.0,"(0.0, 0.0)"
Allan Hills 09008,55799,Valid,H5,31.3,Found,2009,0.0,0.0,"(0.0, 0.0)"
Allan Hills 09009,55800,Valid,L6,24.8,Found,2009,0.0,0.0,"(0.0, 0.0)"
Allan Hills 09010,55801,Valid,L3.4,2.6,Found,2009,0.0,0.0,"(0.0, 0.0)"
Allan Hills 09011,55802,Valid,LL6,14.2,Found,2009,0.0,0.0,"(0.0, 0.0)"
Allan Hills 09012,55794,Valid,L6,18.1,Found,2009,0.0,0.0,"(0.0, 0.0)"
Allan Hills 09013,55795,Valid,L6,25.5,Found,2009,0.0,0.0,"(0.0, 0.0)"
Allan Hills 09014,55796,Valid,L5,30.2,Found,2009,0.0,0.0,"(0.0, 0.0)"
Allan Hills 10910,56771,Valid,L5,444.1,Found,2010,0.0,0.0,"(0.0, 0.0)"
Allan Hills 10911,56772,Valid,L6,218.9,Found,2010,0.0,0.0,"(0.0, 0.0)"
Allan Hills 10912,56773,Valid,H6,60.3,Found,2010,0.0,0.0,"(0.0, 0.0)"
Allan Hills 99101,1300,Valid,LL3,103.4,Found,2000,-76.76098,159.45252,"(-76.76098, 159.45252)"
Anoual,45975,Valid,Lunar,5.92,Found,2006,32.73458,-2.95797,"(32.73458, -2.95797)"
Antelope,57455,Valid,H4,754.0,Found,2012,40.90183,-118.54465,"(40.90183, -118.54465)"
Anthony Gap,56391,Valid,L6,347.36,Found,2011,32.00584,-106.56028,"(32.00584, -106.56028)"
Aoufous,2314,Valid,Eucrite-mmict,195.0,Found,2000,31.66667,-4.06667,"(31.66667, -4.06667)"
Ararki,45408,Valid,L5,4460.0,Found,2001,29.06,74.44,"(29.06, 74.44)"
Arches,2328,Valid,L5,534.0,Found,2001,38.68867,-109.58517,"(38.68867, -109.58517)"
Arlit,30441,Valid,H5,20.1,Found,2002,18.673,7.34225,"(18.673, 7.34225)"
Ashuwairif 001,51563,Valid,H4,14566.0,Found,2008,29.35944,14.25528,"(29.35944, 14.25528)"
Ashuwairif 002,51564,Valid,L5/6,11953.0,Found,2008,29.37972,14.26972,"(29.37972, 14.26972)"
Ashuwairif 003,53616,Valid,H4,2900.0,Found,2008,29.35833,14.24833,"(29.35833, 14.24833)"
Ashuwairif 004,53630,Valid,L6,15750.0,Found,2008,29.36583,14.27611,"(29.36583, 14.27611)"
Ashuwairif 005,56099,Valid,H4,335.0,Found,2010,29.3945,14.29233,"(29.3945, 14.29233)"
Assamakka,53892,Valid,"Iron, IVA-an",4400.0,Found,2002,19.26667,5.91667,"(19.26667, 5.91667)"
Aubrey Hills,56393,Valid,H6,560.8,Found,2010,34.38063,-114.16705,"(34.38063, -114.16705)"
Aybut 001,4912,Valid,H6,442.26,Found,2002,17.75793,53.99032,"(17.75793, 53.99032)"
Baruun Urt,44704,Valid,H5,25.9,Found,2002,46.7,113.28333,"(46.7, 113.28333)"
Bates Nunataks 00300,4958,Valid,Eucrite-unbr,124.6,Found,2000,-80.25,153.5,"(-80.25, 153.5)"
Bates Nunataks 00301,4959,Valid,H3.3,33.8,Found,2000,-80.25,153.5,"(-80.25, 153.5)"
Bates Nunataks 00302,4960,Valid,H3.3,37.1,Found,2000,-80.25,153.5,"(-80.25, 153.5)"
Bates Nunataks 00303,4961,Valid,H3.3,15.8,Found,2000,-80.25,153.5,"(-80.25, 153.5)"
Bates Nunataks 00304,4962,Valid,L6,709.0,Found,2000,-80.25,153.5,"(-80.25, 153.5)"
