name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Northwest Africa 4609,45555,Valid,H5,738.3,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 461,17729,Valid,H5,171.0,Found,2001,26.784,-12.8335,"(26.784, -12.8335)"
Northwest Africa 4610,45556,Valid,L6,486.7,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4611,45557,Valid,CV3,242.1,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4612,45558,Valid,L3,26.4,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4613,45559,Valid,L5/6,93.5,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4614,45560,Valid,H5/6,26.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4616,45561,Valid,H6,54.5,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4617,45562,Valid,H5/6,95.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4618,45563,Valid,H6,65.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 462,17730,Valid,L6,40.5,Found,2001,26.784,-12.8335,"(26.784, -12.8335)"
Northwest Africa 4620,45564,Valid,L6,56.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4621,45565,Valid,L6,251.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4622,45566,Valid,L6,16.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4623,45567,Valid,L6,48.5,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4625,45568,Valid,H4/5,37.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4626,45569,Valid,H-melt rock,25.1,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4627,45570,Valid,H6,26.8,Found,2005,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4628,45571,Valid,CO3,45.7,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4629,45572,Valid,L5/6,56.2,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 463,17731,Valid,L6,15.0,Found,2001,26.784,-12.8335,"(26.784, -12.8335)"
Northwest Africa 4630,45573,Valid,H6,26.4,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4633,45576,Valid,H4,122.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4634,45577,Valid,LL5,170.0,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4635,45578,Valid,LL5,11.2,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4637,45579,Valid,L3,36.1,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4638,45580,Valid,H5/6,54.3,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4639,45581,Valid,LL4-6,52.5,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 464,17732,Valid,H3,159.0,Found,2001,31.36817,-4.01683,"(31.36817, -4.01683)"
Northwest Africa 4640,45582,Valid,H5,778.2,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4641,45583,Valid,LL6,178.5,Found,2006,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 4643,45585,Valid,EL6,995.3,Found,2006,0.0,0.0,"(0.0, 0.0)"
